rating,date,variation,verified_reviews,feedback,cleaned_reviews,sentiment_score,sentiment_label,label
5,30-Jul-18,Charcoal Fabric ,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,1,it worked exactly as expected and the speaker has great sound it is perfect for my classroom,0.8316,Positive,1
5,30-Jul-18,Charcoal Fabric ,"LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!",1,love love this new little gadget  has  made our lives so much easier  its like having our own personal secretary living here in the home  we hardly need our cds anymore since alexa plays everything we need  going to get the alexa dots soon for more rooms  thanks,0.9593,Positive,1
4,30-Jul-18,Heather Gray Fabric ,The speaker is of surprising quality. Happy with the purchase.,1,the speaker is of surprising quality happy with the purchase,0.7003,Positive,1
5,30-Jul-18,Charcoal Fabric ,Very easy to set up. Works wonderful and I love it!!,1,very easy to set up works wonderful and i love it,0.902,Positive,1
5,30-Jul-18,Sandstone Fabric ,I'm really impressed with the sound quality when playing music from this device.  The bass sounds almost like it's coming from a bigger speaker so props to Amazon.,1,im really impressed with the sound quality when playing music from this device  the bass sounds almost like its coming from a bigger speaker so props to amazon,0.8107,Positive,1
4,30-Jul-18,Charcoal Fabric ,"It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.",1,its still a great productbut the sound quality does seem worsedont get me wrong you definitely get used to it within an hour but it definitely feels like echo gen  sound quality was betterbesides that  its greatwith the addition of being able to play just over bluetooth with no wifi its even better,0.9231,Positive,1
4,30-Jul-18,Sandstone Fabric ,The outlet does not work with it. Was disappointed in that.,1,the outlet does not work with it was disappointed in that,-0.4767,Negative,0
4,30-Jul-18,Charcoal Fabric ,"Great device, responsive and helpful",1,great device responsive and helpful,0.8555,Positive,1
2,30-Jul-18,Charcoal Fabric ,Sound is terrible if u want good music too get a bose,0,sound is terrible if u want good music too get a bose,0.0258,Neutral,2
4,30-Jul-18,Charcoal Fabric ,"i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.",1,i liked the sound  what is troubling is that i paid extra money to have access to a million more songs sometimes it doesnt work ex alexa play italian songs dont have or don t understand or play the opera tosca response sorry i dont have that,0.4215,Positive,1
5,30-Jul-18,Charcoal Fabric ,Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.,1,easy to set up and use too bad it has to be plugged in would be nice to take it outside and operate on battery and recharged,0.296,Positive,1
5,30-Jul-18,Charcoal Fabric ,Still learning all the ways to use it.  It is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  Very cute.,1,still learning all the ways to use it  it is a real hit with my grandkids who ask it to play music and then dance to it   and  yrs  very cute,0.6901,Positive,1
4,30-Jul-18,Oak Finish ,"4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product.",1, out of  stars i generally like this product its great at doing what you ask of it like playing music setting timers and making calls reason why i didnt rate it  out of  is that sometimes the connection dies and my echo stops playing music and shows a red ring seems to be a connection issue overall great product,0.9349,Positive,1
5,30-Jul-18,Charcoal Fabric ,"Works great, upgraded from echo dot to full size echo, couldn’t be happier!",1,works great upgraded from echo dot to full size echo couldnt be happier,0.3235,Positive,1
5,30-Jul-18,Charcoal Fabric ,It's Alexa.... what else can you say,1,its alexa what else can you say,0.0,Neutral,2
5,30-Jul-18,Charcoal Fabric ,Upgraded from my lilttle echo dot. Happy with sound,1,upgraded from my lilttle echo dot happy with sound,0.5719,Positive,1
4,30-Jul-18,Sandstone Fabric ,"Excellent product, set up with ease as well.",1,excellent product set up with ease as well,0.8074,Positive,1
5,30-Jul-18,Heather Gray Fabric ,I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,1,ive had the first gen echo since it first came out and it has worked well for me i purchased the nd gen during prime day and so far im happy it seems to have an improved speaker which provides enhanced sound for music and such,0.8467,Positive,1
5,30-Jul-18,Charcoal Fabric ,I love my Echo smart speaker.  I love the volume and clarity.  It was easy to set up.  ITs a wonderful gift for any age.,1,i love my echo smart speaker  i love the volume and clarity  it was easy to set up  its a wonderful gift for any age,0.9729,Positive,1
5,30-Jul-18,Charcoal Fabric ,wonderful product and fast delivery!,1,wonderful product and fast delivery,0.5719,Positive,1
4,30-Jul-18,Charcoal Fabric ,Initially harder to set up called tech wasn’t that knowledgeable now working great.,1,initially harder to set up called tech wasnt that knowledgeable now working great,0.6249,Positive,1
5,30-Jul-18,Heather Gray Fabric ,It was very easy to set up and my family love it’s!,1,it was very easy to set up and my family love its,0.8122,Positive,1
5,30-Jul-18,Charcoal Fabric ,Has great sound and is very responsive my voice and commands.,1,has great sound and is very responsive my voice and commands,0.7841,Positive,1
5,30-Jul-18,Sandstone Fabric ,How did I live this long without the Echo . You get to enjoy any music style  just my asking Alexa . Going to up-greade to the wireless . Love the Echo . Love you too Alexa .,1,how did i live this long without the echo  you get to enjoy any music style  just my asking alexa  going to upgreade to the wireless  love the echo  love you too alexa ,0.9118,Positive,1
5,30-Jul-18,Heather Gray Fabric ,Very cool product. Speaker sounds good with my Spotify blasting through it.,1,very cool product speaker sounds good with my spotify blasting through it,0.6697,Positive,1
5,30-Jul-18,Charcoal Fabric ,Having so much fun with Alexa. Love being able to listen to music when I’m across the room or busy doing something else.,1,having so much fun with alexa love being able to listen to music when im across the room or busy doing something else,0.8307,Positive,1
